Index No.	CAS #	Chemical Formula	Vcosmo. A3	Compound Name	Chemical Family	COSMO Segments	Pre-opt tool	Temp. (K)	ln Pvap
1	74-82-8	CH4	37.95554	METHANE	n-Alkanes	212	MS Forcite	111.66	12.4145
2	74-84-0	C2H6	58.80969	ETHANE	n-Alkanes	338	Amber8	184.55	12.9668
3	74-98-6	C3H8	80.70296	PROPANE	n-Alkanes	438	None	231.11	12.1654
4	75-28-5	C4H10-2	103.40846	ISOBUTANE	Methylalkanes	506	None	261.43	11.8708
5	106-97-8	C4H10-1	102.43321	N-BUTANE	n-Alkanes	550	None	272.65	11.9626
6	109-66-0	C5H12-1	124.30210	N-PENTANE	n-Alkanes	653	None	309.22	11.7704
7	78-78-4	C5H12-2	124.67696	2-METHYL-BUTANE	Methylalkanes	610	None	300.99	11.7313
8	463-82-1	C5H12-3	125.33547	2.2-DIMETHYL-PROPANE	Dimethylalkanes	520	None	282.65	12.0179
9	110-54-3	C6H14-1	146.12927	N-HEXANE	n-Alkanes	754	None	341.88	11.6978
10	107-83-5	C6H14-2	146.47461	2-METHYL-PENTANE	Methylalkanes	715	None	333.41	11.6178
11	96-14-0	C6H14-3	145.62074	3-METHYL-PENTANE	Methylalkanes	696	None	336.42	11.5874
12	75-83-2	C6H14-4	146.22012	2.2-DIMETHYL-BUTANE	Dimethylalkanes	620	None	322.88	12.0563
13	79-29-8	C6H14-5	145.97466	2.3-DIMETHYL-BUTANE	Dimethylalkanes	670	None	331.13	11.7218
14	142-82-5	C7H16-1	167.98102	N-HEPTANE	n-Alkanes	859	None	371.58	11.5734
15	591-76-4	C7H16-2	168.45948	2-METHYLHEXANE	Methylalkanes	825	None	363.20	11.5113
16	589-34-4	C7H16-3	167.57786	3-METHYLHEXANE	Methylalkanes	808	None	365.00	11.5467
17	617-78-7	C7H16-8	168.23201	3-ETHYLPENTANE	Other-alkanes	744	None	366.62	11.5673
18	590-35-2	C7H16-4	168.07074	2.2-DIMETHYLPENTANE	Dimethylalkanes	727	None	352.34	11.9464
19	565-59-3	C7H16-5	167.02001	2.3-DIMETHYLPENTANE	Dimethylalkanes	760	None	362.93	11.7054
20	108-08-7	C7H16-6	168.82859	2.4-DIMETHYLPENTANE	Dimethylalkanes	758	None	353.64	11.3919
21	562-49-2	C7H16-7	166.64671	3.3-DIMETHYLPENTANE	Dimethylalkanes	721	None	359.21	12.1520
22	464-06-2	C7H16-9	166.63785	2.2.3-TRIMETHYLBUTANE	Other-alkanes	687	None	354.03	12.1591
23	111-65-9	C8H18-1	189.79275	N-OCTANE	n-Alkanes	958	None	398.83	11.6796
24	592-27-8	C8H18-2	190.50564	2-METHYLHEPTANE	Methylalkanes	932	None	390.80	11.4374
25	589-81-1	C8H18-3	189.39249	3-METHYLHEPTANE	Methylalkanes	919	None	392.08	11.4513
26	589-53-7	C8H18-4	189.54530	4-METHYLHEPTANE	Methylalkanes	916	None	390.86	11.3600
27	619-99-8	C8H18-11	190.31378	3-ETHYLHEXANE	Other-alkanes	854	None	391.69	11.3972
28	590-73-8	C8H18-5	189.64276	2.2-DIMETHYLHEXANE	Dimethylalkanes	831	None	379.99	11.7878
29	584-94-1	C8H18-6	188.97705	2.3-DIMETHYLHEXANE	Dimethylalkanes	862	None	388.76	11.4676
30	589-43-5	C8H18-7	189.93692	2.4-DIMETHYLHEXANE	Dimethylalkanes	844	None	382.58	11.3709
31	592-13-2	C8H18-8	190.18599	2.5-DIMETHYLHEXANE	Dimethylalkanes	866	None	382.26	11.2911
32	563-16-6	C8H18-9	188.40880	3.3-DIMETHYLHEXANE	Dimethylalkanes	817	None	385.12	11.9834
33	583-48-2	C8H18-10	187.44909	3.4-DIMETHYLHEXANE	Dimethylalkanes	805	None	390.88	11.5870
34	609-26-7	C8H18-16	189.24398	2-METHYL-3-ETHYLPENTANE	Other-alkanes	789	None	388.80	11.5119
35	1067-08-9	C8H18-17	187.57068	3-METHYL-3-ETHYLPENTANE	Other-alkanes	782	None	391.42	12.1431
36	564-02-3	C8H18-12	187.69193	2.2.3-TRIMETHYLPENTANE	Other-alkanes	775	None	383.00	12.1090
37	540-84-1	C8H18-13	191.13904	2.2.4-TRIMETHYLPENTANE	Other-alkanes	774	None	372.39	11.6942
38	560-21-4	C8H18-14	186.70317	2.3.3-TRIMETHYLPENTANE	Other-alkanes	768	None	387.92	12.2183
39	565-75-3	C8H18-15	188.14286	2.3.4-TRIMETHYLPENTANE	Other-alkanes	795	None	386.62	11.6607
40	594-82-1	C8H18	186.49039	2.2.3.3-TETRAMETHYLBUTANE	Other-alkanes	726	None	379.44	12.5806
41	111-84-2	C9H20-1	211.69954	N-NONANE	n-Alkanes	1064	None	423.97	11.4903
42	3522-94-9	C9H20-4	212.46740	2.2.5-TRIMETHYLHEXANE	Other-alkanes	886	None	397.24	11.5039
43	7154-80-5	C10H22-2	231.01034	3.3.5-TRIMETHYLHEPTANE	Other-alkanes	945	None	428.83	11.7396
